claim_id,kind,doc,score,claim,evidence
c0001,atom,Management_of_Diabetes_in_Pregnancy_A_Review_of_Clinical_Guidelines_Practices.txt,28,GDM screening window: 4-12 weeks,"ADA (2023) recommends a two-hour 75 OGTT at 4-12 weeks after delivery to check whether diabetes has remitted or the mother acquires T2DM, an"
c0002,atom,Management_of_Diabetes_in_Pregnancy_A_Review_of_Clinical_Guidelines_Practices.txt,28,rate range: 30-50%,"ADA (2023) recommends a two-hour 75 OGTT at 4-12 weeks after delivery to check whether diabetes has remitted or the mother acquires T2DM, an"
c0003,atom,Management_of_Diabetes_in_Pregnancy_A_Review_of_Clinical_Guidelines_Practices.txt,28,time horizon: 10 years,"ADA (2023) recommends a two-hour 75 OGTT at 4-12 weeks after delivery to check whether diabetes has remitted or the mother acquires T2DM, an"
c0004,atom,Management_of_Diabetes_in_Pregnancy_A_Review_of_Clinical_Guidelines_Practices.txt,27,fasting glucose threshold: 92 mg/dL,The guidelines of the ADA (2023) recommend the 75 g OGTT with the following cut-off points for diagnosis: fasting glucose ≥92 mg/dL (5.1 mmo
c0005,atom,Management_of_Diabetes_in_Pregnancy_A_Review_of_Clinical_Guidelines_Practices.txt,27,glucose threshold: 180 mg/dL,The guidelines of the ADA (2023) recommend the 75 g OGTT with the following cut-off points for diagnosis: fasting glucose ≥92 mg/dL (5.1 mmo
c0006,atom,Management_of_Diabetes_in_Pregnancy_A_Review_of_Clinical_Guidelines_Practices.txt,27,glucose threshold: 153 mg/dL,The guidelines of the ADA (2023) recommend the 75 g OGTT with the following cut-off points for diagnosis: fasting glucose ≥92 mg/dL (5.1 mmo
c0007,atom,Management_of_Diabetes_in_Pregnancy_A_Review_of_Clinical_Guidelines_Practices.txt,27,OGTT glucose load: 75 g,The guidelines of the ADA (2023) recommend the 75 g OGTT with the following cut-off points for diagnosis: fasting glucose ≥92 mg/dL (5.1 mmo
c0008,gen_atom,Management_of_Diabetes_in_Pregnancy_A_Review_of_Clinical_Guidelines_Practices.txt,26,CARE-PATHWAY: ADA (2023) recommends a two-hour 75 OGTT at 4-12 weeks after delivery to check whether diabetes has remitt,"ADA (2023) recommends a two-hour 75 OGTT at 4-12 weeks after delivery to check whether diabetes has remitted or the mother acquires T2DM, an"
c0009,atom,Management_of_Diabetes_in_Pregnancy_A_Review_of_Clinical_Guidelines_Practices.txt,23,GDM screening window: 24-28 weeks,Both ADA 2023 and NICE 2022 recommend universal screening for GDM between 24-28 weeks of gestation with a 75 g OGTT [10].
c0010,sentence,Management_of_Diabetes_in_Pregnancy_A_Review_of_Clinical_Guidelines_Practices.txt,23,ADA (2023) recommends a two-hour 75 OGTT at 4-12 weeks after delivery to check whether diabetes has remitted or the moth,"ADA (2023) recommends a two-hour 75 OGTT at 4-12 weeks after delivery to check whether diabetes has remitted or the mother acquires T2DM, an"
c0011,sentence,Management_of_Diabetes_in_Pregnancy_A_Review_of_Clinical_Guidelines_Practices.txt,22,The guidelines of the ADA (2023) recommend the 75 g OGTT with the following cut-off points for diagnosis: fasting glucos,The guidelines of the ADA (2023) recommend the 75 g OGTT with the following cut-off points for diagnosis: fasting glucose ≥92 mg/dL (5.1 mmo
c0012,atom,Diabetes_mellitus_and_pregnancy.txt,21,rate range: 2-5%,Gestational diabetes mellitus (GDM) represents approximately 90% of these cases and affects 2–5% of all pregnancies and varies in direct pro
c0013,atom,Diabetes_mellitus_and_pregnancy.txt,21,rate: 90%,Gestational diabetes mellitus (GDM) represents approximately 90% of these cases and affects 2–5% of all pregnancies and varies in direct pro
c0014,atom,Diabetes_mellitus_and_pregnancy.txt,21,rate: 0.2%,Gestational diabetes mellitus (GDM) represents approximately 90% of these cases and affects 2–5% of all pregnancies and varies in direct pro
c0015,atom,Diabetes_mellitus_and_pregnancy.txt,21,rate: 0.3%,Gestational diabetes mellitus (GDM) represents approximately 90% of these cases and affects 2–5% of all pregnancies and varies in direct pro
c0016,atom,Management_of_Diabetes_in_Pregnancy_A_Review_of_Clinical_Guidelines_Practices.txt,21,glucose threshold: 95 mg/dL,The ADA and NICE-recommended targets are the preprandial blood glucose levels between 70-95 mg/dL (3.9-5.3 mmol/L) and less than 140 mg/dL (
c0017,atom,Management_of_Diabetes_in_Pregnancy_A_Review_of_Clinical_Guidelines_Practices.txt,21,glucose threshold: 140 mg/dL,The ADA and NICE-recommended targets are the preprandial blood glucose levels between 70-95 mg/dL (3.9-5.3 mmol/L) and less than 140 mg/dL (
c0018,atom,Management_of_Diabetes_in_Pregnancy_A_Review_of_Clinical_Guidelines_Practices.txt,21,rate: 40%,"These can include a balanced diet with low-glycemic index meals consisting of 40% carbohydrates, 30% protein, and 30% fats, with carbohydrat"
c0019,atom,Management_of_Diabetes_in_Pregnancy_A_Review_of_Clinical_Guidelines_Practices.txt,21,rate: 30%,"These can include a balanced diet with low-glycemic index meals consisting of 40% carbohydrates, 30% protein, and 30% fats, with carbohydrat"
c0020,gen_atom,Management_of_Diabetes_in_Pregnancy_A_Review_of_Clinical_Guidelines_Practices.txt,21,CARE-PATHWAY: Both ADA 2023 and NICE 2022 recommend universal screening for GDM between 24-28 weeks of gestation with a ,Both ADA 2023 and NICE 2022 recommend universal screening for GDM between 24-28 weeks of gestation with a 75 g OGTT [10].
